port_lat,port_lon,con_lat,con_lon
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
49.103522,140.333152,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
59.831566,30.501842,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
49.103522,140.333152,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
59.831566,30.501842,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
49.161759,142.0584,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
59.831566,30.501842,36.0,137.0
37.554935,126.970644,36.0,137.0
49.103522,140.333152,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
49.103522,140.333152,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
59.831566,30.501842,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
59.831566,30.501842,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
59.831566,30.501842,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
43.089051,131.879003,36.0,137.0
42.753071,133.075292,36.0,137.0
59.831566,30.501842,36.0,137.0
42.649665,130.80734,36.0,137.0
37.554935,126.970644,36.0,137.0
49.096625,140.261518,36.0,137.0
50.40113,30.531136,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
46.492472,30.739323,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
46.492472,30.739323,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
46.492472,30.739323,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
46.492472,30.739323,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
46.492472,30.739323,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
46.492472,30.739323,48.383022,31.1828699
50.40113,30.531136,48.383022,31.1828699
46.492472,30.739323,48.383022,31.1828699
50.40113,30.531136,56.923946,24.1371
57.397756,21.546138,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
60.627489,28.567357,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
56.95897,24.094468,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
59.371124,28.614786,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
57.397756,21.546138,56.923946,24.1371
60.627489,28.567357,56.923946,24.1371
56.95897,24.094468,56.923946,24.1371
57.397756,21.546138,56.923946,24.1371
67.137756,32.407999,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
56.95897,24.094468,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
57.397756,21.546138,56.923946,24.1371
60.706737,28.735997,56.923946,24.1371
60.627489,28.567357,56.923946,24.1371
67.137756,32.407999,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
56.95897,24.094468,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
57.397756,21.546138,56.923946,24.1371
60.706737,28.735997,56.923946,24.1371
60.627489,28.567357,56.923946,24.1371
67.137756,32.407999,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
56.95897,24.094468,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
57.397756,21.546138,56.923946,24.1371
60.706737,28.735997,56.923946,24.1371
60.627489,28.567357,56.923946,24.1371
67.137756,32.407999,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
56.95897,24.094468,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
50.40113,30.531136,56.923946,24.1371
57.397756,21.546138,56.923946,24.1371
60.706737,28.735997,56.923946,24.1371
60.627489,28.567357,56.923946,24.1371
67.137756,32.407999,56.923946,24.1371
68.978906,33.067631,56.923946,24.1371
56.95897,24.094468,56.923946,24.1371
47.206761,38.952893,56.923946,24.1371
59.371124,28.614786,56.923946,24.1371
59.690523,28.4331,56.923946,24.1371
68.978906,33.067631,41.015137,28.97953
44.730138,37.779099,41.015137,28.97953
47.206761,38.952893,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
44.094002,39.062543,41.015137,28.97953
47.167631,39.226993,41.015137,28.97953
46.492472,30.739323,41.015137,28.97953
68.978906,33.067631,41.015137,28.97953
44.730138,37.779099,41.015137,28.97953
47.206761,38.952893,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
44.094002,39.062543,41.015137,28.97953
47.167631,39.226993,41.015137,28.97953
46.492472,30.739323,41.015137,28.97953
68.978906,33.067631,41.015137,28.97953
44.730138,37.779099,41.015137,28.97953
47.206761,38.952893,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
44.094002,39.062543,41.015137,28.97953
47.167631,39.226993,41.015137,28.97953
46.492472,30.739323,41.015137,28.97953
57.397756,21.546138,41.015137,28.97953
68.978906,33.067631,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
57.397756,21.546138,41.015137,28.97953
45.359856,36.478208,41.015137,28.97953
68.978906,33.067631,41.015137,28.97953
44.730138,37.779099,41.015137,28.97953
47.206761,38.952893,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
47.167631,39.226993,41.015137,28.97953
46.492472,30.739323,41.015137,28.97953
57.397756,21.546138,41.015137,28.97953
45.359856,36.478208,41.015137,28.97953
68.978906,33.067631,41.015137,28.97953
44.730138,37.779099,41.015137,28.97953
47.206761,38.952893,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
44.094002,39.062543,41.015137,28.97953
47.167631,39.226993,41.015137,28.97953
46.492472,30.739323,41.015137,28.97953
57.397756,21.546138,41.015137,28.97953
45.359856,36.478208,41.015137,28.97953
68.978906,33.067631,41.015137,28.97953
44.730138,37.779099,41.015137,28.97953
47.206761,38.952893,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
44.094002,39.062543,41.015137,28.97953
47.167631,39.226993,41.015137,28.97953
46.492472,30.739323,41.015137,28.97953
57.397756,21.546138,41.015137,28.97953
45.359856,36.478208,41.015137,28.97953
68.978906,33.067631,41.015137,28.97953
44.730138,37.779099,41.015137,28.97953
47.206761,38.952893,41.015137,28.97953
45.320921,37.384178,41.015137,28.97953
44.094002,39.062543,41.015137,28.97953
47.167631,39.226993,41.015137,28.97953
46.492472,30.739323,41.015137,28.97953
57.397756,21.546138,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
44.094002,39.062543,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.706737,28.735997,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.706737,28.735997,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.706737,28.735997,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
44.094002,39.062543,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.706737,28.735997,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
44.094002,39.062543,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.706737,28.735997,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
44.094002,39.062543,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.706737,28.735997,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
44.094002,39.062543,44.439663,26.096306
59.371124,28.614786,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.371124,28.614786,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.371124,28.614786,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.371124,28.614786,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.371124,28.614786,52.237049,21.017532
59.690523,28.4331,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.690523,28.4331,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
59.690523,28.4331,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.706737,28.735997,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.690523,28.4331,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.706737,28.735997,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.371124,28.614786,52.237049,21.017532
59.690523,28.4331,52.237049,21.017532
50.40113,30.531136,52.237049,21.017532
57.397756,21.546138,52.237049,21.017532
60.706737,28.735997,52.237049,21.017532
60.627489,28.567357,52.237049,21.017532
59.371124,28.614786,52.237049,21.017532
59.690523,28.4331,52.237049,21.017532
42.649665,130.80734,28.6448,77.216721
49.096625,140.261518,28.6448,77.216721
49.103522,140.333152,28.6448,77.216721
43.089051,131.879003,28.6448,77.216721
42.753071,133.075292,28.6448,77.216721
59.831566,30.501842,28.6448,77.216721
42.649665,130.80734,28.6448,77.216721
49.096625,140.261518,28.6448,77.216721
43.089051,131.879003,28.6448,77.216721
42.753071,133.075292,28.6448,77.216721
59.831566,30.501842,28.6448,77.216721
42.649665,130.80734,28.6448,77.216721
49.096625,140.261518,28.6448,77.216721
60.627489,28.567357,52.370216,4.895168
68.978906,33.067631,52.370216,4.895168
59.371124,28.614786,52.370216,4.895168
60.627489,28.567357,52.370216,4.895168
68.978906,33.067631,52.370216,4.895168
59.371124,28.614786,52.370216,4.895168
57.038262,24.061383,52.370216,4.895168
60.627489,28.567357,52.370216,4.895168
68.978906,33.067631,52.370216,4.895168
44.730138,37.779099,52.370216,4.895168
56.95897,24.094468,52.370216,4.895168
47.206761,38.952893,52.370216,4.895168
59.371124,28.614786,52.370216,4.895168
59.690523,28.4331,52.370216,4.895168
57.038262,24.061383,52.370216,4.895168
60.627489,28.567357,52.370216,4.895168
68.978906,33.067631,52.370216,4.895168
44.730138,37.779099,52.370216,4.895168
56.95897,24.094468,52.370216,4.895168
47.206761,38.952893,52.370216,4.895168
59.371124,28.614786,52.370216,4.895168
59.690523,28.4331,52.370216,4.895168
57.038262,24.061383,52.370216,4.895168
60.627489,28.567357,52.370216,4.895168
68.978906,33.067631,52.370216,4.895168
44.730138,37.779099,52.370216,4.895168
56.95897,24.094468,52.370216,4.895168
47.206761,38.952893,52.370216,4.895168
59.371124,28.614786,52.370216,4.895168
59.690523,28.4331,52.370216,4.895168
57.038262,24.061383,52.370216,4.895168
60.627489,28.567357,52.370216,4.895168
68.978906,33.067631,52.370216,4.895168
44.730138,37.779099,52.370216,4.895168
56.95897,24.094468,52.370216,4.895168
47.206761,38.952893,52.370216,4.895168
59.371124,28.614786,52.370216,4.895168
59.690523,28.4331,52.370216,4.895168
57.038262,24.061383,52.370216,4.895168
60.627489,28.567357,52.370216,4.895168
68.978906,33.067631,52.370216,4.895168
44.730138,37.779099,52.370216,4.895168
56.95897,24.094468,52.370216,4.895168
47.206761,38.952893,52.370216,4.895168
